view,direction,country,slice,K,recall,n
V1,rev,US,no_shared_name_word,10,0.6055,829
V1,rev,US,no_shared_name_word,20,0.6502,829
V2,fwd,India,all,5,0.6999,6791
V2,fwd,India,all,10,0.7797,6791
V2,fwd,India,all,20,0.813,6791
V2,fwd,India,all,50,0.8368,6791
V2,fwd,India,all,100,0.8526,6791
V2,fwd,India,all,200,0.8695,6791
V2,fwd,India,dba,5,1.0,84
V2,fwd,India,dba,10,1.0,84
V2,fwd,India,dba,20,1.0,84
V2,fwd,India,dba,50,1.0,84
V2,fwd,India,dba,100,1.0,84
V2,fwd,India,dba,200,1.0,84
V2,fwd,India,domain_or_handle,5,0.7115,312
V2,fwd,India,domain_or_handle,10,0.8173,312
V2,fwd,India,domain_or_handle,20,0.8558,312
V2,fwd,India,domain_or_handle,50,0.8942,312
V2,fwd,India,domain_or_handle,100,0.9006,312
V2,fwd,India,domain_or_handle,200,0.9167,312
V2,fwd,India,empty_address,5,0.0,266
V2,fwd,India,empty_address,10,0.0,266
V2,fwd,India,empty_address,20,0.0,266
V2,fwd,India,empty_address,50,0.0,266
V2,fwd,India,empty_address,100,0.0,266
V2,fwd,India,empty_address,200,0.0,266
V2,fwd,India,no_shared_name_word,5,0.7237,760
V2,fwd,India,no_shared_name_word,10,0.8,760
V2,fwd,India,no_shared_name_word,20,0.8395,760
V2,fwd,India,no_shared_name_word,50,0.8763,760
V2,fwd,India,no_shared_name_word,100,0.8947,760
V2,fwd,India,no_shared_name_word,200,0.9171,760
V2,fwd,India,nonlatin_name,5,0.6428,1229
V2,fwd,India,nonlatin_name,10,0.7356,1229
V2,fwd,India,nonlatin_name,20,0.7868,1229
V2,fwd,India,nonlatin_name,50,0.8169,1229
V2,fwd,India,nonlatin_name,100,0.843,1229
V2,fwd,India,nonlatin_name,200,0.8714,1229
V2,fwd,US,all,5,0.7031,10740
V2,fwd,US,all,10,0.8111,10740
V2,fwd,US,all,20,0.8653,10740
V2,fwd,US,all,50,0.9006,10740
V2,fwd,US,all,100,0.9128,10740
V2,fwd,US,all,200,0.9217,10740
V2,fwd,US,dba,5,1.0,187
